fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location,dob_x,height_x,n_draw_x,n_loss_x,n_win_x,name_x,reach_x,sig_str_abs_pM_x,sig_str_def_pct_x,sig_str_land_pM_x,sig_str_land_pct_x,stance_x,sub_avg_x,td_avg_x,td_def_pct_x,td_land_pct_x,weight_x,dob_y,height_y,n_draw_y,n_loss_y,n_win_y,name_y,reach_y,sig_str_abs_pM_y,sig_str_def_pct_y,sig_str_land_pM_y,sig_str_land_pct_y,stance_y,sub_avg_y,td_avg_y,td_def_pct_y,td_land_pct_y,weight_y
fa537adfb4a7b719,Rafael Natal,0dba4df5f34d5ff0,Tom Watson,6809c31286b08d97,Rafael Natal,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"January 31, 2015","Las Vegas, Nevada, USA","Dec 25, 1982","6' 0""",1.0,9.0,21.0,Rafael Natal,"76""",2.48,0.57,3.1,0.47,Orthodox,0.5,2.55,0.77,0.34,185 lbs.,"Jul 13, 1982","6' 1""",0.0,9.0,17.0,Tom Watson,"73""",4.41,0.5,4.01,0.44,Orthodox,0.0,0.15,0.43,0.07,185 lbs.
776a8a645868f616,Thales Leites,cfb65863d5099327,Tim Boetsch,c80095f6092271a7,Thales Leites,Submission,2,3:45,3 Rnd (5-5-5),Middleweight Bout,"January 31, 2015","Las Vegas, Nevada, USA","Sep 06, 1981","6' 1""",0.0,9.0,28.0,Thales Leites,"78""",2.99,0.52,2.13,0.4,Orthodox,1.1,2.1,0.3,0.27,185 lbs.,"Jan 28, 1981","6' 0""",0.0,13.0,21.0,Tim Boetsch,"74""",2.9,0.57,2.93,0.5,Orthodox,0.8,1.45,0.59,0.34,185 lbs.
7fa227a1c5ef2238,Miesha Tate,b96619b3acd7d9da,Sara McMann,7be74a12d7352df2,Miesha Tate,Decision - Majority,3,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,"January 31, 2015","Las Vegas, Nevada, USA","Aug 18, 1986","5' 6""",0.0,7.0,18.0,Miesha Tate,"65""",2.71,0.5,1.93,0.41,Orthodox,1.6,2.06,0.52,0.31,135 lbs.,"Sep 24, 1980","5' 6""",0.0,5.0,11.0,Sara McMann,"66""",2.06,0.47,2.37,0.44,Orthodox,0.5,4.67,0.66,0.64,135 lbs.
b347480405118de5,Ed Herman,06f36cf4bd97ec77,Derek Brunson,b1a3e0aca758b322,Derek Brunson,KO/TKO,1,0:36,3 Rnd (5-5-5),Middleweight Bout,"January 31, 2015","Las Vegas, Nevada, USA","Oct 02, 1980","6' 1""",0.0,14.0,26.0,Ed Herman,"77""",3.13,0.44,3.33,0.49,Orthodox,1.2,2.2,0.59,0.48,205 lbs.,"Jan 04, 1984","6' 1""",0.0,7.0,20.0,Derek Brunson,"77""",2.91,0.54,3.39,0.45,Southpaw,0.5,2.8,1.0,0.29,185 lbs.
cbb4673397b5e96f,Joe Lauzon,3bad7ef643840f67,Al Iaquinta,59279a7c978f7da0,Al Iaquinta,KO/TKO,2,3:34,3 Rnd (5-5-5),Lightweight Bout,"January 31, 2015","Las Vegas, Nevada, USA","May 22, 1984","5' 10""",0.0,16.0,28.0,Joe Lauzon,"71""",5.39,0.54,2.84,0.39,Orthodox,2.0,2.39,0.54,0.45,155 lbs.,"Apr 30, 1987","5' 10""",1.0,6.0,14.0,Al Iaquinta,"70""",4.44,0.61,4.06,0.4,Orthodox,0.2,0.64,0.74,0.18,155 lbs.
0a2f344e419bd4fd,Jordan Mein,2aa49b3766a59bcd,Thiago Alves,31ee470ef5dc8d7f,Thiago Alves,KO/TKO,2,0:39,3 Rnd (5-5-5),Welterweight Bout,"January 31, 2015","Las Vegas, Nevada, USA","Oct 10, 1989","6' 0""",0.0,12.0,31.0,Jordan Mein,"73""",2.55,0.69,3.35,0.44,Orthodox,0.2,1.56,0.66,0.58,170 lbs.,"Oct 03, 1983","5' 9""",0.0,15.0,28.0,Thiago Alves,"70""",3.42,0.62,3.73,0.41,Orthodox,0.3,0.71,0.63,0.6,170 lbs.
d52a5d085bfa569b,Tyron Woodley,effd9de9937996f8,Kelvin Gastelum,8c0580d4fff106c1,Tyron Woodley,Decision - Split,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"January 31, 2015","Las Vegas, Nevada, USA","Apr 07, 1982","5' 9""",1.0,4.0,19.0,Tyron Woodley,"74""",2.58,0.57,2.5,0.49,Orthodox,0.5,1.21,0.92,0.41,170 lbs.,"Oct 24, 1991","5' 9""",0.0,5.0,16.0,Kelvin Gastelum,"71""",3.01,0.59,3.75,0.43,Southpaw,0.1,0.8,0.62,0.35,185 lbs.
203b3098d892c3b1,Dhiego Lima,e9213f53ddeca978,Tim Means,4b47e71384a9522f,Tim Means,KO/TKO,1,2:17,3 Rnd (5-5-5),Welterweight Bout,"February 28, 2015","Los Angeles, California, USA","Jan 31, 1989","6' 2""",0.0,7.0,17.0,Dhiego Lima,"75""",2.96,0.62,2.84,0.4,Orthodox,0.8,1.66,0.66,0.44,170 lbs.,"Feb 20, 1984","6' 2""",1.0,11.0,29.0,Tim Means,"75""",3.34,0.62,4.87,0.45,Orthodox,0.2,0.87,0.63,0.45,170 lbs.
f3e1c02ce14bccfe,Derrick Lewis,d3df1add9d9a7efb,Ruan Potts,7e208569469c8bc8,Derrick Lewis,KO/TKO,2,3:18,3 Rnd (5-5-5),Heavyweight Bout,"February 28, 2015","Los Angeles, California, USA","Feb 07, 1985","6' 3""",0.0,7.0,22.0,Derrick Lewis,"79""",2.29,0.44,2.63,0.49,Orthodox,0.0,0.52,0.53,0.25,260 lbs.,"Feb 23, 1978","6' 2""",0.0,4.0,8.0,Ruan Potts,"75""",5.92,0.22,0.85,0.37,Orthodox,2.3,0.75,0.33,0.16,247 lbs.
28255055879685bc,Roman Salazar,72c4b253d2f5ebf2,Norifumi Yamamoto,4834ff149dc9542a,NC,Could Not Continue,2,2:37,3 Rnd (5-5-5),Bantamweight Bout,"February 28, 2015","Los Angeles, California, USA","Feb 21, 1988","5' 7""",0.0,4.0,9.0,Roman Salazar,"67""",2.89,0.57,1.95,0.39,Orthodox,0.0,1.77,0.5,0.18,135 lbs.,"Mar 15, 1977","5' 4""",0.0,6.0,18.0,Norifumi Yamamoto,"66""",2.01,0.57,2.09,0.45,Southpaw,0.0,0.41,0.45,0.22,135 lbs.
